Camp Rock,2008,Matthew Diamond,Demi Lovato|Joe Jonas|Meaghan Martin|Maria Canals-Barrera,5.1
Psych: The Movie,2017,Steve Franks,James Roday|Dulé Hill|Timothy Omundson|Maggie Lawson,7.5
Blekitna laguna: Przebudzenie,2012,Mikael Salomon,Indiana Evans|Brenton Thwaites|Denise Richards|Patrick St. Esprit,5.5
A Christmas Princess,2019,Fred Olen Ray,Shein Mompremier|Travis Burns|Erin Gray|Andrew Lauer,5.7
Christmas at Grand Valley,2018,Don McCutcheon,Danica McKellar|Brennan Elliott|Dan Lauria|Hattie Kragten,6.4
Dolly Parton's Christmas of Many Colors: Circle of Love,2016,Stephen Herek,Alyvia Alyn Lind|Dolly Parton|Kelli Berglund|Ricky Schroder,8.0
A Gift to Remember,2017,Kevin Fair,Ali Liebert|Peter Porte|Tina Lifford|Kristin York,6.7
Rekinado,2013,Anthony C. Ferrante,Ian Ziering|Tara Reid|John Heard|Cassandra Scerbo,3.3
A Royal Christmas,2014,Alex Zamm,Lacey Chabert|Stephen Hagan|Jane Seymour|Katherine Flynn,6.6
A Bramble House Christmas,2017,Steven R. Monroe,Autumn Reeser|David Haydn-Jones|Liam Hughes|Teryl Rothery,7.1
Rocky Horror Picture Show: Zróbmy to jeszcze raz,2016,Kenny Ortega,Ivy Levan|Victoria Justice|Staz Nair|Christina Milian,4.2
An Adventure in Space and Time,2013,Terry McDonough,David Bradley|Ross Gurney-Randall|Roger May|Sam Hoare,8.3
W kleszczach leku,2009,Tim Fywell,Michelle Dockery|Eva Sayer|Josef Lindsay|Dan Stevens,5.5
Jesse Stone: Nocne przejscie,2006,Robert Harmon,Tom Selleck|Saul Rubinek|Viola Davis|Kohl Sudduth,7.3
Zimny jak glaz,2005,Robert Harmon,Tom Selleck|Jane Adams|Reg Rogers|Viola Davis,7.2
W krainie zabawek,1986,Clive Donner,Drew Barrymore|Richard Mulligan|Eileen Brennan|Keanu Reeves,5.4
Christmas on Honeysuckle Lane,2018,Maggie Greenwald,Alicia Witt|Colin Ferguson|Laura Leighton|Jill Larson,6.3
The Rutles: All You Need Is Cash,1978,Eric Idle,Gary Weis|John Halsey|Ricky Fataar|Neil Innes,7.3
Tremors,2018,Vincenzo Natali,Kevin Bacon|Hunter Parrish|Fred Ward|Shiloh Fernandez,7.3
Bibliotekarz III: Przeklety kielich Judasza,2008,Jonathan Frakes,Noah Wyle|Bruce Davison|Stana Katic|Bob Newhart,6.5
Pojedynek na szosie,1971,Steven Spielberg,Dennis Weaver|Jacqueline Scott|Eddie Firestone|Lou Frizzell,7.6
Elizabeth Is Missing,2019,Aisling Walsh,Glenda Jackson|Maggie Steed|Sophie Rundle|Liv Hill,8.1
Arcyoszust,2017,Barry Levinson,Robert De Niro|Michelle Pfeiffer|Alessandro Nivola|Nathan Darrow,6.8
Christmas Under the Stars,2019,Allan Harmon,Jesse Metcalfe|Autumn Reeser|Clarke Peters|Anthony Bolognese,6.8
Wiedzmikolaj,2006,Vadim Jean,David Jason|Marc Warren|Michelle Dockery|David Warner,7.5
How the Grinch Stole Christmas!,1966,Chuck Jones,Ben Washam|Boris Karloff|Thurl Ravenscroft|June Foray|Dal McKennon,8.3
Christmas Love Letter,2019,Damián Romay,Ashley Newbrough|Tilky Jones|Chanté Bowser|Izzy Herbert,6.2
Bibliotekarz II: Tajemnice kopalni króla Salomona,2006,Jonathan Frakes,Noah Wyle|Gabrielle Anwar|Bob Newhart|Jane Curtin,6.2
A Storybook Christmas,2019,Curtis Crawford,Ali Liebert|Jake Epstein|Habree Larratt|Victoria Maria,6.6
A Godwink Christmas,2018,Michael Robison,Kimberley Sustad|Paul Campbell|Kathie Lee Gifford|Giles Panton,6.5
A Veteran's Christmas,2018,Mark Jean,Sean Faris|Eloise Mumford|Mary Long|Amanda Lisman,7.1
Count Dracula,1977,Philip Saville,Louis Jourdan|Frank Finlay|Susan Penhaligon|Judi Bowker,7.5
Operation Christmas,2016,David Weaver,Tricia Helfer|Marc Blucas|Lisa Durupt|Gabrielle Rose,6.8
Christmas in Evergreen: Letters to Santa,2018,Sean McNamara,Jill Wagner|Mark Deklin|Holly Robinson Peete|Barbara Niven,6.7
The 39 Steps,2008,James Hawes,Rupert Penry-Jones|Lydia Leonard|David Haig|Patrick Malahide,6.4
Ilana Glazer: The Planet Is Burning,2020,Ryan Cunningham,Ilana Glazer,4.2
Dwanascie okrazen,2001,Steve Boyum,Alana Austin|Trever O'Brien|Riley Smith|Mary-Margaret Humes,6.6
No Sleep 'Til Christmas,2018,Phil Traill,Odette Annable|Dave Annable|Jess Salgueiro|Brittany Bristow,6.7
The Queen and I,2018,Dan Zeff,Samantha Bond|Oliver Chris|Amanda Abbington|Julia McKenzie,5.2
Holiday Hearts,2019,Allan Harmon,Ashley Williams|Paul Campbell|Payton Lepinski|Andrew Airlie,6.6
Donald Trump's The Art of the Deal: The Movie,2016,Jeremy Konner,Johnny Depp|Ron Howard|Alfred Molina|Robert Morse,5.9
Christmas with a Prince,2018,Justin G. Dyck,Kaitlyn Leeb|Nick Hounslow|Josh Dean|Melinda Shankar,5.3
Ratburger,2017,Matt Lipsey,David Walliams|Tillie Amartey|Talia Barnett|Mark Benton,5.5
Rocky Mountain Christmas,2017,Tibor Takács,Kristoffer Polaha|Lindy Booth|Treat Williams|Chris McNally,6.6
The Secret Lives of Cheerleaders,2019,Peter Sullivan,Denise Richards|Savannah May|Alexandria DeBerry|Josie Davis,5.5
The Christmas Note,2015,Terry Ingram,Jamie-Lynn Sigler|Leah Gibson|Lynda Boyd|Dylan Kingwell,6.7
Beverly Hills Cop,2013,Barry Sonnenfeld,Chasty Ballesteros|B.J. Britt|Kenzie Dalton|David Denman,7.2
Jingle Around the Clock,2018,Paul Ziller,Brooke Nevin|Michael Cassidy|Jeremy Guilbaut|Andrea Brooks,6.7
Christmas at Holly Lodge,2017,Jem Garrard,Alison Sweeney|Jordan Bridges|Sheryl Lee Ralph|Yan-Kay Crystal Lowe,6.5
Threads,1984,Mick Jackson,Karen Meagher|Reece Dinsdale|David Brierly|Rita May,8.0
Ostatnie Rekinado: Zab czasu,2018,Anthony C. Ferrante,Ian Ziering|Tara Reid|Cassandra Scerbo|Judah Friedlander,3.5
Christmas Bells Are Ringing,2018,Pat Williams,Emilie Ullerup|Josh Kelly|Mark Humphrey|Rebecca Staab,6.5
The Christmas Contract,2018,Monika Mitchell,Hilarie Burton|Robert Buckley|Danneel Ackles|Antwon Tanner,6.9
Road to Christmas,2018,Allan Harmon,Jessy Schram|Teryl Rothery|Matreya Scarrwener|Chad Michael Murray,6.8
Winter in Vail,2020,Terry Ingram,Lacey Chabert|Tyler Hynes|Marla Renae|Greg Lawson,7.2
Swiateczna dziewczyna,2016,Tosca Musk,Emma Rigby|Peter Porte|Sarah Stouffer|Leland B. Martin,6.3
4.50 z Paddington,1987,Martyn Friend,Joan Hickson|Juliette Mole|David Beames|Mona Bruce,7.7
A Charlie Brown Christmas,1965,Bill Melendez,Ann Altieri|Chris Doran|Sally Dryer,8.3
The SpongeBob Musical: Live on Stage!,2019,Glenn Weiss,Tina Landau|Tom Kenny|Bill Fagerbakke|Ethan Slater|Rodger Bumpass,8.1
A Very Merry Mix-Up,2013,Jonathan Wright,Alicia Witt|Mark Wiebe|Lawrence Dane|Scott Gibson,6.8
Miss Christmas,2017,Mike Rohl,Brooke D'Orsay|Marc Blucas|Luke Roessler|Fiona Vroom,6.7
Snow Bride,2013,Bert Kish,Katrina Law|Jordan Belfi|Patricia Richardson|Susie Abromeit,6.8
A Dream of Christmas,2016,Gary Yates,Andrew W. Walker|Nikki Deloach|Lisa Durupt|Paul Essiembre,6.7
Perswazje,2007,Adrian Shergold,Sally Hawkins|Alice Krige|Anthony Head|Julia Davis,7.5
Christmas at the Palace,2018,Peter Hewitt,Merritt Patterson|Andrew Cooper|Brittany Bristow|India Fowler,6.6
Once Upon a Christmas Miracle,2018,Gary Yates,Aimee Teegarden|Brett Dalton|Lolita Davidovich|Cassandra Potenza,7.6
Once Upon a Holiday,2015,James Head,Briana Evigan|Paul Campbell|Greg Evigan|Jacqueline Samuda,6.2
Christmas Hotel,2019,Marla Sokoloff,Tatyana Ali|Sean Patrick Thomas|Sheryl Lee Ralph|Telma Hopkins,6.3
A Blue Ridge Mountain Christmas,2019,David Winning,Rachael Leigh Cook|Benjamin Ayres|Christie Burke|Chilton Crane,6.3
Zenon: Z3,2004,Steve Rash,Kirsten Storms|Lauren Maltby|Alyson Morgan|Stuart Pankin,5.5
A Christmas to Remember,2016,David Weaver,Mira Sorvino|Cameron Mathison|Jesse Filkow|Bailey Skodje,6.6
Teen Beach 2,2015,Jeffrey Hornaday,Ross Lynch|Maia Mitchell|Gracie Gillam|Garrett Clayton,6.1
Dziewczyny Cheetah,2003,Oz Scott,Raven-Symoné|Adrienne Houghton|Kiely Williams|Sabrina Bryan,4.8
Kwiaty na poddaszu,2014,Deborah Chow,Heather Graham|Ellen Burstyn|Kiernan Shipka|Mason Dye,6.1
Zombieland,2013,Eli Craig,Kirk Ward|Tyler Ross|Maiara Walsh|Izabela Vidovic,5.9
Alicja w Krainie Czarów,1985,Harry Harris,Natalie Gregory|Sheila Allen|Sharee Gregory|Red Buttons,7.4
A Christmas Movie Christmas,2019,Brian Herzlinger,Brant Daugherty|Lana McKissack|Kimberly Daugherty|Ryan Merriman,5.6
My Dinner with Hervé,2018,Sacha Gervasi,Peter Dinklage|Jamie Dornan|Frida Munting|Harriet Walter,7.0
Rodzina Addamsów: Wielki zjazd,1998,Dave Payne,Daryl Hannah|Tim Curry|Nicole Fugere|Jerry Messing,3.9
Cold Feet at Christmas,2019,Harvey Crossland,Sara Mitich|Candice Mausner|Mimi Kuzyk|Harmon Walsh,6.1
Zostac koszykarka,2002,Duwayne Dunham,Poppi Monroe|Annie McElwain|Teal Redmann|Nick Searcy,6.1
Christmas in Homestead,2016,Steven R. Monroe,Taylor Cole|Michael Rady|Brooklyn Rae Silzer|Jeff Branson,6.5
Christmas Joy,2018,Monika Mitchell,Danielle Panabaker|Matt Long|Lucia Walters|Beverley Elliott,6.5
Wredne dziewczyny 2,2011,Melanie Mayron,Meaghan Martin|Donn Lamkin|Linden Ashby|Dan Coleman,4.1
Nostalgic Christmas,2019,J.B. Sugar,Brooke D'Orsay|Trevor Donovan|Jenna Weir|Ron Lea,6.4
Cloud 9,2014,Paul Hoen,Luke Benward|Dove Cameron|Mike C. Manning|Kiersey Clemons,6.6
How I Met Your Dad,2014,Rob Greenberg,Nicholas D'Agosto|Jake Ferree|Greta Gerwig|Anders Holm,5.3
Hobbit,1977,Jules Bass,Arthur Rankin Jr.|Orson Bean|John Huston|Theodore Gottlieb|Cyril Ritchard,6.8
Last Vermont Christmas,2018,David Jackson,Erin Cahill|Justin Bruening|Catherine Corcoran|Alan Pontes,5.9
Kochanek Lady Chatterley,2015,Jed Mercurio,Holliday Grainger|Richard Madden|James Norton|Jodie Comer,6.4
Rediscovering Christmas,2019,Colin Theys,Jessica Lowndes|B.J. Britt|Justine Cotsonas|David Naughton,6.1
Debbie Macomber's Dashing Through the Snow,2015,Kristoffer Tabori,Meghan Ory|Andrew W. Walker|Aaron Craven|Rukiya Bernard,6.6
Christmas Jars,2019,Jonathan Wright,Jeni Ross|Markian Tarasiuk|Tara Yelland|Zerha Leverman,7.5
Game of Thrones: The Last Watch,2019,Jeanie Finlay,Kevin Alexander|Alfie Allen|Jacob Anderson|Gethin Anthony,7.2
Swiateczne zareczyny,2011,Jim Fall,Bonnie Somerville|Shelley Long|Jordan Bridges|Sam McMurray,6.0
Cztery Gwiazdki i Wesele,2017,Marita Grabiak,Arielle Kebbel|Corey Sevier|Markie Post|Madison Smith,6.0
Wybór Gracie,2004,Peter Werner,Kristen Bell|Diane Ladd|Shedrack Anderson III|Anne Heche,7.6
Temple Grandin,2010,Mick Jackson,Claire Danes|Julia Ormond|David Strathairn|Catherine O'Hara,8.3
Karaibska tajemnica,1989,Christopher Petit,Joan Hickson|Donald Pleasence|Adrian Lukis|Sophie Ward,7.4
