Transformers,2007,Michael Bay,Shia LaBeouf|Megan Fox,7.3
Crash,2004,Paul Haggis,Sandra Bullock|Don Cheadle,7.6
Skyfall,2012,Sam Mendes,Daniel Craig|Judi Dench,7.4
Misery,1990,Rob Reiner,James Caan|Kathy Bates,7.6
Mystic River,2003,Clint Eastwood,Sean Penn|Tim Robbins,7.7
Birdman,2014,Alejandro González Iñárritu,Michael Keaton|Zach Galifianakis,7.2
The Last Samurai,2003,Edward Zwick,Tom Cruise|Ken Watanabe,7.7
Dallas Buyers Club,2013,Jean-Marc Vallée,Matthew McConaughey|Jennifer Garner,7.8
Lejdis,2008,Tomasz Konecki,Edyta Olszówka|Anna Dereszowska,5.9
The Fault in Our Stars,2014,Josh Boone,Shailene Woodley|Ansel Elgort,7.5
Law Abiding Citizen,2009,F. Gary Gray,Gerard Butler|Jamie Foxx,7.9
Suicide Squad,2016,David Ayer,Will Smith|Jared Leto,6.2
Mr. Nobody,2009,Jaco Van Dormael,Jared Leto|Sarah Polley,7.5
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Mark Hamill|Harrison Ford,8.1
War of the Worlds,2005,Steven Spielberg,Tom Cruise|Justin Chatwin,6.3
Minority Report,2002,Steven Spielberg,Tom Cruise|Colin Farrell,7.4
Enemy at the Gates,2001,Jean-Jacques Annaud,Jude Law|Joseph Fiennes,7.9
Ace Ventura: Pet Detective,1994,Tom Shadyac,Jim Carrey|Courteney Cox,6.3
Rain Man,1988,Barry Levinson,Dustin Hoffman|Tom Cruise,8.0
Harry Potter and the Order of the Phoenix,2007,David Yates,Daniel Radcliffe|Rupert Grint,7.5
Chocolat,2000,Lasse Hallström,Juliette Binoche|Johnny Depp,7.5
Harry Potter and the Half-Blood Prince,2009,David Yates,Daniel Radcliffe|Rupert Grint,7.5
La La Land,2016,Damien Chazelle,Ryan Gosling|Emma Stone,7.3
The Mask,1994,Chuck Russell,Jim Carrey|Cameron Diaz,6.8
Blade Runner,1982,Ridley Scott,Harrison Ford|Rutger Hauer,7.7
Pay It Forward,2000,Mimi Leder,Kevin Spacey|Helen Hunt,7.6
Constantine,2005,Francis Lawrence,Keanu Reeves|Rachel Weisz,7.4
Fear and Loathing in Las Vegas,1998,Terry Gilliam,Johnny Depp|Benicio del Toro,7.5
Public Enemies,2009,Michael Mann,Johnny Depp|Christian Bale,7.2
Casino Royale,2006,Martin Campbell,Daniel Craig|Eva Green,7.5
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Mark Hamill|Harrison Ford,8.1
Changeling,2008,Clint Eastwood,Angelina Jolie|John Malkovich,7.8
Spotlight,2015,Tom McCarthy,Mark Ruffalo|Michael Keaton,7.6
Three Billboards Outside Ebbing Missouri,2017,Martin McDonagh,Frances McDormand|Woody Harrelson,8.0
The Fast and the Furious,2001,Rob Cohen,Vin Diesel|Paul Walker,7.5
I Robot,2004,Alex Proyas,Will Smith|Bridget Moynahan,7.2
The Social Network,2010,David Fincher,Jesse Eisenberg|Andrew Garfield,7.0
Zodiac,2007,David Fincher,Jake Gyllenhaal|Mark Ruffalo,7.1
The Transporter,2002,Corey Yuen,Jason Statham|Qi Shu,7.3
Harry Potter and the Chamber of Secrets,2002,Chris Columbus,Daniel Radcliffe|Rupert Grint,7.4
Twelve Monkeys,1995,Terry Gilliam,Bruce Willis|Madeleine Stowe,7.6
